"Strain","RelForce"
44.3392451692,38.2438
49.761849191,30.9354
52.9469854522,36.5528
-4.3402072717,88.0759
57.744957253,23.7372
3.9539675286,98.917769692
3.9541174864,99.368971996
-1.6139973234,100
-3.5039931447,99.5934392238
7.5061605534,99.3947235125
10.0364052905,97.7832386113
-7.06080866,97.0970606092
-9.5471230157,93.3092310202
12.602358719,91.1760106271
16.110582382,87.3761465062
-9.9779763687,92.6864611624
-9.978088411,92.5760893671
16.2345787047,87.5034220822
20.4536526322,81.5077941756
-15.7857360332,88.2023786302
-17.5281188886,85.0133340614
19.5047146027,82.9648596465
22.3129132899,78.9879885743
-20.8854925005,79.7108596508
-24.9157830279,71.9210703305
25.9421281561,70.3345662284
29.5672366505,62.9945800556
-27.5308829822,63.8070459747
-23.8130873856,74.1029225262
32.2182410509,52.1663462155
35.0625684818,44.253578734
-27.3202234288,56.7081706914
-29.4534017446,52.9116967513
37.155350009,35.4696230832
40.7135211084,27.2903080766
-33.3665047559,13.2580550259
-28.1089494846,30.9478481237
40.16513474,20.418445046
45.6166331086,13.0287366664
-38.4990056929,2.7400719684
-38.4990056929,2.7495207305
-45.3770492487,0.4734018391
52.0203728376,16.159006494
54.7390105307,10.2649428003
59.6885029324,6.5542414218
62.0574425378,5.4089971586
-8.9697807959,98.8526465769
-8.9694139958,97.230256636
-0.8243890425,78.9605129742
-7.3384761689,78.827030887
6.2917150132,87.1793148292
13.7929161343,82.8985520094
-13.4261560621,92.998911256
-19.3385470494,82.6546044934
5.9300160444,100
10.6692778912,95.3626775975
-12.7384704372,77.75798693
-19.8982752515,63.767452857
19.1172290218,76.5465313111
28.3542860017,59.2576782265
-20.7680236553,80.5871756223
-30.9935819523,50.4383539906
18.2939213007,82.5594919251
27.6405209332,57.0055062614
-20.4975622679,62.7016169943
-33.3254988186,23.7137255271
26.9781044689,64.3563500738
36.290745698,39.7072714274
-34.641035005,37.0654285496
-40.9983436365,14.7556177037
27.8783914297,58.1681125279
35.3803894145,39.3582805781
-33.959124884,20.2833115823
-45.4230051796,0.5027609868
37.7928962222,41.7241699996
46.6726358117,20.8221494647
-46.4952061446,1.1174311681
-41.2352873345,12.5888034181
38.9406524672,32.8380380119
49.9953900558,16.5515844527
-41.2343543586,4.3730221139
-35.9070254883,19.4073446713
52.4427381858,13.5331266259
56.6347837181,9.5758959315
0.4822462793,100
0.4825110485,99.2475370079
2.1778159007,79.2241497856
-3.9782377017,80.5546755732
13.1920112161,80.4622479256
25.7476057301,64.0854731
-4.495588991,99.6598299053
-15.044763589,91.2946723097
9.7160525414,97.4883744384
16.5846939161,89.5660042354
-4.4531848133,85.6582713535
-19.4377797846,73.5479806754
25.6641205815,68.8834688359
38.9688177954,41.5989352465
-20.9675408553,85.0750438452
-25.7081987577,73.9019620173
21.3560618471,85.2680205425
30.4320505604,67.7553223076
-10.5800897371,85.4245901807
-31.2849770363,50.8289775799
33.8338964464,55.8845295293
49.7712109815,23.3836609109
-25.2037834553,77.8902222893
-41.1363824152,33.3485955854
31.225222523,62.5886424396
40.3076809338,39.6859680637
-20.1369586919,68.6826604218
-49.4810414053,4.0864951906
49.2117141063,23.967490553
63.5946787582,7.6504908773
-33.2539537352,49.5703268096
-46.523866713,14.6513546792
47.1038087853,28.5302979513
53.8224855839,18.9067047143
-32.3358073164,33.4091120868
-44.8939327937,7.4374280505
-42.2552709394,10.6032914008
-55.6463150669,0.6091121243
-57.1494196547,0.3925447219
9.644925587,88.7364078979
9.6455893205,92.9249449957
5.5384773924,98.1337102058
2.8095601374,100
15.7635268128,84.3335133779
18.2555431845,80.2298652757
2.4578708491,98.4079256104
19.3987591601,78.772577513
1.8630472061,98.8973617491
-2.7171650527,98.6899779491
25.2105708793,69.3561173003
28.6078211138,64.0660639968
-7.7233344583,95.2519967011
30.0270094244,61.4179315098
-16.6247968351,87.8303295512
