x,gas
-0.00202,-0.000427
0.10324,0.012804
0.15992,0.029054
0.21862,0.055153
0.27328,0.100097
0.33401,0.200285
0.71053,0.199696
0.65385,0.148328
0.58097,0.10125
0.51822,0.074296
0.45951,0.053336
0.39474,0.037947
0.34615,0.028546
0.30162,0.021712
0.23887,0.014459
0.19838,0.009765
0.1417,0.006363
0.09514,0.003814
-0.0081,-0.000853
