x,ctrl
2.50018,3.24
2.59953,4.772
2.69889,6.539
2.80047,8.542
2.89764,10.545
2.99923,12.725
3.10083,15.022
3.20242,17.202
3.2996,19.381
3.4012,21.679
3.49838,23.918
3.59997,26.097
3.69715,28.336
3.79875,30.633
3.90254,32.813
4.00193,35.052
