x,sup
2.14383,0.3621
2.44646,1.6953
2.67005,3.6449
2.89711,6.1249
3.11734,9.4
3.3617,13.9128
3.6817,18.3391
3.98449,22.4116
4.25297,27.897
4.52161,35.945
4.76283,45.6713
5.04875,55.3103

x,inf
1.90315,0.091
2.22634,0.1875
2.48421,0.3707
2.79717,2.0576
3.07235,4.362
3.29948,7.9907
3.59893,13.9188
3.81251,21.2585
4.064,30.013
4.44275,39.7427
4.76979,47.0853
4.97636,52.039
