x,ctrl
2.49875,1.865
2.59796,3.209
2.69935,4.73
2.79848,6.603
2.89763,8.418
2.99677,10.291
3.1003,12.281
3.19944,14.154
3.29854,16.261
3.39767,18.193
3.49676,20.36
3.59808,22.467
3.69717,24.634
3.79627,26.8
3.89757,28.966
3.99888,31.074
