x,ctrl
1.99705,-0.0003
2.09719,0.125
2.20026,0.424
2.29743,0.84
2.4005,1.256
2.49766,1.729
2.60071,2.378
2.69785,3.2
2.80088,4.023
2.89802,4.904
3.00103,6.076
3.10107,7.422
3.19523,8.825
3.2982,10.404
3.39823,12.041
3.50119,13.794
3.5953,15.837
3.69236,17.764
3.79823,20.041
3.89526,22.316
4.00111,24.884
