x,c01
0.00968,3.68685
0.0389,3.26695
0.17131,1.93882
0.35981,1.06146
0.62531,0.38283
0.85458,0.0908

x,c02
0.01237,3.37392
0.08337,2.44993
0.24944,1.38891
0.57774,0.33961
0.86014,-0.00994

x,c03
0.02201,2.93786
0.25912,1.07576
0.44909,0.3883
0.57905,0.08817
0.66573,-0.0039

x,c04
0.0316,2.37332
0.07332,1.69046
0.13878,0.92307
0.2644,0.17615
0.33287,0.00084

x,c05
0.00347,1.92168
0.0326,1.22245
0.10504,0.41573
0.18322,0.00549

x,c06
-0.00083,1.61455
0.01285,0.75938
0.03232,0.43475
0.08951,-0.00836

x,c07
1.00279,-0.01436
1.06292,-0.04416
1.13425,-0.05755
1.20138,-0.06522
1.26007,-0.20112
1.3831,-0.32784
1.41108,-0.31754
1.56482,-0.60164

x,c08
0.90209,-0.01124
1.25581,-0.37976
1.46964,-0.81656

x,c09
0.58042,-0.01243
0.73422,-0.12335
0.88238,-0.39051
0.92569,-0.53152
1.0207,-0.79704

x,c10
0.51189,-0.00471
0.59436,-0.13018
0.64048,-0.23776
0.72157,-0.32407
0.75509,-0.4536
0.82631,-0.74073

x,c11
0.2993,-0.00929
0.39013,-0.21881
0.42644,-0.37636
0.4432,-0.4551

x,c12
0.20419,-0.00634
0.24888,-0.20884
0.29078,-0.38333
0.30189,-0.60713

x,c13
1.28385,-0.19627
1.5844,-0.60783
1.7395,-1.04281
1.78418,-1.23973

x,c14
0.75105,-0.00655
0.95938,-0.1862
1.10196,-0.40292
1.17741,-0.60079
1.29186,-1.29149

x,c15
0.4028,0.00426
0.51881,-0.18929
0.58172,-0.2918
0.68656,-0.43472
0.74936,-0.82773

x,c16
0.16224,0.00614
0.1762,-0.07809
0.24323,-0.3595
0.26549,-0.69539
