x,fl
0.660112,0.65701
0.688537,0.69159
0.717428,0.72523
0.743989,0.75981
0.77288,0.78785
0.803169,0.81215
0.833924,0.86822
0.868406,0.91869
0.897297,0.95234
0.933178,0.96916
0.966729,0.98224
0.999348,0.99533
1.029637,0.98879
1.064585,0.98131
1.09068,0.95794
