x,fv
0.00563,1.05682
0.0641,1.16372
0.08392,1.22052
0.14622,1.27059
0.25119,1.32563
0.28992,1.38074
0.51355,1.45904
0.65603,1.49231
1.02532,1.50526
1.97236,1.54766
2.59756,1.58541
