x,mouse
2.45679,2.91
2.71343,12
2.96725,21.09
3.21826,30.74
3.47494,45.48
3.73162,59.65
3.98551,77.78
4.23941,97.03
4.49613,117.42

x,frog
2.21995,2.87
2.46247,9.13
2.69656,18.21
2.94195,31.82
3.17613,53.33
3.41322,88.97
3.65325,140.99
3.89343,215.05
4.13102,320.18
